OCC, dop: 6, writePercent: 40, troughput: 35513445
Locking, dop: 6, writePercent: 40, troughput: 23396572
OCC, dop: 6, writePercent: 50, troughput: 32345138
Locking, dop: 6, writePercent: 50, troughput: 23036707
OCC, dop: 6, writePercent: 60, troughput: 29939072
Locking, dop: 6, writePercent: 60, troughput: 23091479
OCC, dop: 6, writePercent: 70, troughput: 28061944
Locking, dop: 6, writePercent: 70, troughput: 22978875
OCC, dop: 6, writePercent: 80, troughput: 26969975
Locking, dop: 6, writePercent: 80, troughput: 22316377
OCC, dop: 6, writePercent: 90, troughput: 25346285
Locking, dop: 6, writePercent: 90, troughput: 21150796
OCC, dop: 6, writePercent: 100, troughput: 24388068
Locking, dop: 6, writePercent: 100, troughput: 20258435

OCC, dop: 7, writePercent: 0, troughput: 58115262
Locking, dop: 7, writePercent: 0, troughput: 48966397
OCC, dop: 7, writePercent: 10, troughput: 49909056
Locking, dop: 7, writePercent: 10, troughput: 22907615
OCC, dop: 7, writePercent: 20, troughput: 44137733
Locking, dop: 7, writePercent: 20, troughput: 22122193
OCC, dop: 7, writePercent: 30, troughput: 38882655
Locking, dop: 7, writePercent: 30, troughput: 23165033
OCC, dop: 7, writePercent: 40, troughput: 34725782
Locking, dop: 7, writePercent: 40, troughput: 23544542
OCC, dop: 7, writePercent: 50, troughput: 31592862
Locking, dop: 7, writePercent: 50, troughput: 23062552
OCC, dop: 7, writePercent: 60, troughput: 29698605
Locking, dop: 7, writePercent: 60, troughput: 22887790
OCC, dop: 7, writePercent: 70, troughput: 27652676
Locking, dop: 7, writePercent: 70, troughput: 22539465
OCC, dop: 7, writePercent: 80, troughput: 25994601
Locking, dop: 7, writePercent: 80, troughput: 21699740
OCC, dop: 7, writePercent: 90, troughput: 24819294
Locking, dop: 7, writePercent: 90, troughput: 20702971
OCC, dop: 7, writePercent: 100, troughput: 23714889
Locking, dop: 7, writePercent: 100, troughput: 20043998

OCC, dop: 8, writePercent: 0, troughput: 57926051
Locking, dop: 8, writePercent: 0, troughput: 48400359
OCC, dop: 8, writePercent: 10, troughput: 48624333
Locking, dop: 8, writePercent: 10, troughput: 23402446
OCC, dop: 8, writePercent: 20, troughput: 42284669
Locking, dop: 8, writePercent: 20, troughput: 22904542
OCC, dop: 8, writePercent: 30, troughput: 36607247
Locking, dop: 8, writePercent: 30, troughput: 23470777
OCC, dop: 8, writePercent: 40, troughput: 30853979
Locking, dop: 8, writePercent: 40, troughput: 22735108
OCC, dop: 8, writePercent: 50, troughput: 30111976
Locking, dop: 8, writePercent: 50, troughput: 22670048
OCC, dop: 8, writePercent: 60, troughput: 24342056
Locking, dop: 8, writePercent: 60, troughput: 21911054
OCC, dop: 8, writePercent: 70, troughput: 26263132
Locking, dop: 8, writePercent: 70, troughput: 21829072
OCC, dop: 8, writePercent: 80, troughput: 25440702
Locking, dop: 8, writePercent: 80, troughput: 21522195
OCC, dop: 8, writePercent: 90, troughput: 24072805
Locking, dop: 8, writePercent: 90, troughput: 20114031
OCC, dop: 8, writePercent: 100, troughput: 23307432
Locking, dop: 8, writePercent: 100, troughput: 18889741

OCC, dop: 9, writePercent: 0, troughput: 57137205
Locking, dop: 9, writePercent: 0, troughput: 47473266
OCC, dop: 9, writePercent: 10, troughput: 45529117
Locking, dop: 9, writePercent: 10, troughput: 23374014
OCC, dop: 9, writePercent: 20, troughput: 40538435
Locking, dop: 9, writePercent: 20, troughput: 22066797
OCC, dop: 9, writePercent: 30, troughput: 36488642
Locking, dop: 9, writePercent: 30, troughput: 22523580
OCC, dop: 9, writePercent: 40, troughput: 32921221
Locking, dop: 9, writePercent: 40, troughput: 23109222
OCC, dop: 9, writePercent: 50, troughput: 29777965
Locking, dop: 9, writePercent: 50, troughput: 23004279
OCC, dop: 9, writePercent: 60, troughput: 27160843
Locking, dop: 9, writePercent: 60, troughput: 22315384
OCC, dop: 9, writePercent: 70, troughput: 25763648
Locking, dop: 9, writePercent: 70, troughput: 22058867
OCC, dop: 9, writePercent: 80, troughput: 24600542
Locking, dop: 9, writePercent: 80, troughput: 21053500
OCC, dop: 9, writePercent: 90, troughput: 23587891
Locking, dop: 9, writePercent: 90, troughput: 19859639
OCC, dop: 9, writePercent: 100, troughput: 22470834
Locking, dop: 9, writePercent: 100, troughput: 18412777

OCC, dop: 10, writePercent: 0, troughput: 55845184
Locking, dop: 10, writePercent: 0, troughput: 46608428
OCC, dop: 10, writePercent: 10, troughput: 46966158
Locking, dop: 10, writePercent: 10, troughput: 24778920
OCC, dop: 10, writePercent: 20, troughput: 41169019
Locking, dop: 10, writePercent: 20, troughput: 21931017
OCC, dop: 10, writePercent: 30, troughput: 35826219
Locking, dop: 10, writePercent: 30, troughput: 23104743
OCC, dop: 10, writePercent: 40, troughput: 32477341
Locking, dop: 10, writePercent: 40, troughput: 23403307
OCC, dop: 10, writePercent: 50, troughput: 29590758
Locking, dop: 10, writePercent: 50, troughput: 23040741
OCC, dop: 10, writePercent: 60, troughput: 27624286
Locking, dop: 10, writePercent: 60, troughput: 22078012
OCC, dop: 10, writePercent: 70, troughput: 25239576
Locking, dop: 10, writePercent: 70, troughput: 22034960
OCC, dop: 10, writePercent: 80, troughput: 24224331
Locking, dop: 10, writePercent: 80, troughput: 20928703
OCC, dop: 10, writePercent: 90, troughput: 22964995
Locking, dop: 10, writePercent: 90, troughput: 19455281
OCC, dop: 10, writePercent: 100, troughput: 22158279
Locking, dop: 10, writePercent: 100, troughput: 18066271

